Boro Code,Boro Ct,CT,County,Geometry,LRS,Number of Records,Boro Code1,Boro Ct201,Boro Name,Cdeligibil,Ct2010,Ctlabel,Ntacode,Ntaname,Puma,Shape Area,Shape Leng
3,3027400,027400,Kings County,POLYGON,20.5,1,3,3027400,Brooklyn,E,027400,274,BK28,Bensonhurst West,4017,1758627.06977,6175.27594228
3,3027500,027500,Kings County,POLYGON,29.4,1,3,3027500,Brooklyn,E,027500,275,BK35,Stuyvesant Heights,4003,1743574.56294,5390.78775209
3,3027600,027600,Kings County,POLYGON,28.4,1,3,3027600,Brooklyn,E,027600,276,BK28,Bensonhurst West,4017,1607862.58044,6258.67898487
3,3027700,027700,Kings County,POLYGON,34.3,1,3,3027700,Brooklyn,E,027700,277,BK35,Stuyvesant Heights,4003,1745688.27632,5391.76576444
3,3030100,030100,Kings County,POLYGON,32.2,1,3,3030100,Brooklyn,E,030100,301,BK79,Ocean Hill,4007,2133891.72942,7471.47949151
3,3030200,030200,Kings County,POLYGON,21.4,1,3,3030200,Brooklyn,E,030200,302,BK29,Bensonhurst East,4017,2273119.85822,6921.91434382
3,3030300,030300,Kings County,POLYGON,34.2,1,3,3030300,Brooklyn,E,030300,303,BK79,Ocean Hill,4007,2690239.58615,6898.56084221
3,3030400,030400,Kings County,POLYGON,20.8,1,3,3030400,Brooklyn,E,030400,304,BK29,Bensonhurst East,4017,4992246.31854,13700.9740876
3,3030500,030500,Kings County,POLYGON,31,1,3,3030500,Brooklyn,E,030500,305,BK61,Crown Heights North,4006,3474329.2756,7369.20606737
3,3030600,030600,Kings County,POLYGON,24.8,1,3,3030600,Brooklyn,I,030600,306,BK26,Gravesend,4018,2084709.5884,6092.7635482
3,3028400,028400,Kings County,POLYGON,23.9,1,3,3028400,Brooklyn,E,028400,284,BK28,Bensonhurst West,4017,1768012.32699,6096.0447065
3,3028501,028501,Kings County,POLYGON,32.4,1,3,3028501,Brooklyn,I,028501,285.01,BK78,Bushwick South,4002,895739.69679,4167.68973824
3,3028502,028502,Kings County,POLYGON,36.4,1,3,3028502,Brooklyn,E,028502,285.02,BK35,Stuyvesant Heights,4003,1290359.37465,4775.42109418
3,3028600,028600,Kings County,POLYGON,25.1,1,3,3028600,Brooklyn,E,028600,286,BK27,Bath Beach,4017,1901157.60395,6844.90340968
3,3028700,028700,Kings County,POLYGON,30.5,1,3,3028700,Brooklyn,E,028700,287,BK35,Stuyvesant Heights,4003,1601115.44372,5919.8846872
3,3028800,028800,Kings County,POLYGON,24.3,1,3,3028800,Brooklyn,E,028800,288,BK28,Bensonhurst West,4017,1644934.16393,5777.68816442
3,3028900,028900,Kings County,POLYGON,34.1,1,3,3028900,Brooklyn,E,028900,289,BK35,Stuyvesant Heights,4003,1784157.55949,6580.11663396
3,3029000,029000,Kings County,POLYGON,21.2,1,3,3029000,Brooklyn,E,029000,290,BK28,Bensonhurst West,4017,1665073.45754,5799.04145908
3,3029100,029100,Kings County,POLYGON,31.3,1,3,3029100,Brooklyn,E,029100,291,BK35,Stuyvesant Heights,4003,1772059.65213,5439.93915313
3,3029200,029200,Kings County,POLYGON,24.5,1,3,3029200,Brooklyn,E,029200,292,BK27,Bath Beach,4017,2183295.69165,7237.06865381
3,3029300,029300,Kings County,POLYGON,32.7,1,3,3029300,Brooklyn,E,029300,293,BK35,Stuyvesant Heights,4003,1770060.57626,5437.78521721
3,3029400,029400,Kings County,POLYGON,16.6,1,3,3029400,Brooklyn,I,029400,294,BK28,Bensonhurst West,4017,2039332.55243,6711.71937835
3,3029500,029500,Kings County,POLYGON,28.4,1,3,3029500,Brooklyn,I,029500,295,BK35,Stuyvesant Heights,4003,1771508.22579,5437.79965189
3,3029600,029600,Kings County,POLYGON,20.4,1,3,3029600,Brooklyn,E,029600,296,BK28,Bensonhurst West,4017,2300496.59548,7396.97107517
3,3029700,029700,Kings County,POLYGON,30.4,1,3,3029700,Brooklyn,E,029700,297,BK61,Crown Heights North,4006,2212768.01658,5858.60267244
3,3029800,029800,Kings County,POLYGON,23.7,1,3,3029800,Brooklyn,E,029800,298,BK29,Bensonhurst East,4017,2379873.95925,7431.07792102
3,3029900,029900,Kings County,POLYGON,35.1,1,3,3029900,Brooklyn,E,029900,299,BK61,Crown Heights North,4006,1597886.1959,5913.20950173
3,3030000,030000,Kings County,POLYGON,23.8,1,3,3030000,Brooklyn,I,030000,300,BK29,Bensonhurst East,4017,2099450.97066,7243.13179313
3,3033100,033100,Kings County,POLYGON,25.4,1,3,3033100,Brooklyn,E,033100,331,BK63,Crown Heights South,4011,1533546.78359,7551.85692701
3,3033300,033300,Kings County,POLYGON,25.2,1,3,3033300,Brooklyn,E,033300,333,BK63,Crown Heights South,4011,2005663.03583,7463.47991995
3,3033500,033500,Kings County,POLYGON,24.3,1,3,3033500,Brooklyn,E,033500,335,BK63,Crown Heights South,4011,1944377.41482,7422.43753827
3,3033600,033600,Kings County,POLYGON,21.4,1,3,3033600,Brooklyn,I,033600,336,BK21,Seagate-Coney Island,4018,7258858.11425,10968.0108511
3,3033700,033700,Kings County,POLYGON,26.9,1,3,3033700,Brooklyn,E,033700,337,BK61,Crown Heights North,4006,2126882.10092,7545.47882449
3,3033900,033900,Kings County,POLYGON,30.7,1,3,3033900,Brooklyn,E,033900,339,BK61,Crown Heights North,4006,1945657.67257,7419.80352822
3,3030700,030700,Kings County,POLYGON,36.7,1,3,3030700,Brooklyn,E,030700,307,BK61,Crown Heights North,4006,2805795.20454,7103.1659598
3,3030800,030800,Kings County,POLYGON,23.7,1,3,3030800,Brooklyn,I,030800,308,BK26,Gravesend,4018,7193619.67806,12485.0926539
3,3030900,030900,Kings County,POLYGON,33.3,1,3,3030900,Brooklyn,E,030900,309,BK61,Crown Heights North,4006,1587377.38042,5470.58144347
3,3031100,031100,Kings County,POLYGON,32.8,1,3,3031100,Brooklyn,E,031100,311,BK61,Crown Heights North,4006,1587578.98763,5467.52333616
3,3031300,031300,Kings County,POLYGON,31.6,1,3,3031300,Brooklyn,E,031300,313,BK61,Crown Heights North,4006,1832521.65859,5465.78702455
3,3031400,031400,Kings County,POLYGON,19.4,1,3,3031400,Brooklyn,E,031400,314,BK26,Gravesend,4018,8954916.00372,23907.8683612
3,3031500,031500,Kings County,POLYGON,31.2,1,3,3031500,Brooklyn,E,031500,315,BK61,Crown Heights North,4006,1886108.10801,5658.75076045
3,3031701,031701,Kings County,POLYGON,32,1,3,3031701,Brooklyn,E,031701,317.01,BK61,Crown Heights North,4006,1504293.97009,5033.48600803
3,3031702,031702,Kings County,POLYGON,30.3,1,3,3031702,Brooklyn,E,031702,317.02,BK61,Crown Heights North,4006,1500336.66225,5031.46306275
3,3031900,031900,Kings County,POLYGON,29.8,1,3,3031900,Brooklyn,E,031900,319,BK63,Crown Heights South,4011,1631610.63027,5787.18823091
3,3032100,032100,Kings County,POLYGON,31.5,1,3,3032100,Brooklyn,E,032100,321,BK63,Crown Heights South,4011,1724842.13626,6039.88563693
3,3032300,032300,Kings County,POLYGON,29.9,1,3,3032300,Brooklyn,E,032300,323,BK63,Crown Heights South,4011,1862860.63114,6269.42067659
